2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack10, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq11, ack0, pkt_len10602023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack8, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack9, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack10, pkt_len36
2023-01-13 12:59:00,237 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack11, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack12, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack13, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack14, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type4 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack15, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type3 pkt to ('127.0.0.1', 48001) via spiffy, seq16, ack0, pkt_l2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq16, ack0, pkt_len1060
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack16, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq17, ack0, pkt_len1060
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack17, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq18, ack0, pkt_len1060
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack18, pkt_len36
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq19, ack0, pkt_len1060
2023-01-13 12:59:00,238 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack19, pkt_len36
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq20, ack0, pkt_len1060
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:69] - DEBUG: sending a type4 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack20, pkt_len36
2023-01-13 12:59:00,240 - /Users/zhuhe/Desktop/CS305-Project-Skeleton_new/CS305-Project-Skeleton/src/../util/simsocket.py[line:90] - DEBUG: Receiving a type3 pkt from ('127.0.0.1', 48002) via spiffy, seq21, ack0, pkt_len1060
