2023-01-13 12:53:51,958 -+- PEER14_LOGGER -+- INFO -+- Start logging
2023-01-13 12:53:51,958 -+- PEER14_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 46568).
2023-01-13 12:53:56,072 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len76
2023-01-13 12:53:56,072 -+- PEER14_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,078 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,278 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,874 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len76
2023-01-13 12:53:56,876 -+- PEER14_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,881 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len56
2023-01-13 12:53:56,881 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq1, ack0, pkt_len1060
2023-01-13 12:53:57,715 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack1, pkt_len36
2023-01-13 12:53:57,715 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq2, ack0, pkt_len1060
2023-01-13 12:53:57,715 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq3, ack0, pkt_len1060
2023-01-13 12:53:58,538 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack2, pkt_len36
2023-01-13 12:53:58,557 -+- PEER14_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack3, pkt_len36
2023-01-13 12:53:58,557 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq4, ack0, pkt_len1060
2023-01-13 12:53:58,557 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq5, ack0, pkt_len1060
2023-01-13 12:53:58,557 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq6, ack0, pkt_len1060
2023-01-13 12:53:58,557 -+- PEER14_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48003) via spiffy, seq7, ack0, pkt_len1060
